,Region,Number of Taxa
0,ABT,86
1,AFG,135
2,AGE,143
3,AGS,49
4,AGW,115
5,ALA,134
6,ALB,300
7,ALD,11
8,ALG,214
9,ALT,158
10,ALU,22
11,AMU,94
12,AND,84
13,ANG,77
14,ARI,125
15,ARK,104
16,ARU,19
17,ASC,5
18,ASK,73
19,ASP,2
20,ASS,225
21,ATP,10
22,AUT,323
23,AZO,53
24,BAH,48
25,BAL,125
26,BAN,156
27,BEN,52
28,BER,15
29,BGM,231
30,BIS,42
31,BKN,41
32,BLR,187
33,BLT,185
34,BLZ,109
35,BOL,280
36,BOR,138
37,BOT,49
38,BRC,98
39,BRY,125
40,BUL,317
41,BUR,53
42,BZC,172
43,BZE,181
44,BZL,215
45,BZN,185
46,BZS,182
47,CAB,13
48,CAF,65
49,CAL,135
50,CAY,30
51,CBD,133
52,CGS,5
53,CHA,51
54,CHC,318
55,CHH,128
56,CHI,109
57,CHM,129
58,CHN,185
59,CHQ,67
60,CHS,252
61,CHT,151
62,CHX,121
63,CKI,4
64,CLC,69
65,CLM,279
66,CLN,49
67,CLS,33
68,CMN,90
69,CNT,113
70,CNY,76
71,COL,116
72,COM,40
73,CON,55
74,COO,11
75,COR,199
76,COS,182
77,CPI,9
78,CPP,151
79,CPV,11
80,CRL,40
81,CRZ,2
82,CTA,107
83,CTM,16
84,CUB,125
85,CVI,30
86,CYP,101
87,CZE,311
88,DEL,100
89,DEN,169
90,DJI,22
91,DOM,105
92,EAI,134
93,ECU,225
94,EGY,81
95,EHM,233
96,ELS,98
97,EQG,21
98,ERI,53
99,ETH,95
100,FAL,9
101,FIJ,45
102,FIN,158
103,FLA,125
104,FOR,48
105,FRA,475
106,FRG,126
107,GAB,62
108,GAL,21
109,GAM,26
110,GEO,127
111,GER,346
112,GGI,50
113,GHA,64
114,GIL,7
115,GNB,40
116,GNL,42
117,GRB,218
118,GRC,307
119,GST,43
120,GUA,174
121,GUI,54
122,GUY,140
123,HAI,101
124,HAW,20
125,HBI,1
126,HON,175
127,HUN,255
128,ICE,65
129,IDA,93
130,ILL,125
131,IND,203
132,INI,115
133,IOW,93
134,IRE,165
135,IRK,120
136,IRN,233
137,IRQ,140
138,ITA,430
139,IVO,64
140,JAM,88
141,JAP,193
142,JAW,154
143,JNF,9
144,KAM,78
145,KAN,89
146,KAZ,193
147,KEG,4
148,KEN,99
149,KER,6
150,KGZ,115
151,KHA,108
152,KOR,153
153,KRA,135
154,KRI,136
155,KRY,193
156,KTY,107
157,KUR,79
158,KUW,21
159,KZN,20
160,LAB,44
161,LAO,160
162,LBR,54
163,LBS,180
164,LBY,109
165,LDV,19
166,LEE,76
167,LES,29
168,LIN,3
169,LOU,110
170,LSI,108
171,MAG,70
172,MAI,106
173,MAN,84
174,MAQ,3
175,MAS,118
176,MAU,41
177,MCI,7
178,MDG,91
179,MDR,55
180,MDV,14
181,MIC,126
182,MIN,111
183,MLI,41
184,MLW,70
185,MLY,186
186,MNT,105
187,MOL,77
188,MON,129
189,MOR,234
190,MOZ,92
191,MPE,2
192,MRN,22
193,MRQ,13
194,MRS,6
195,MRY,112
196,MSI,109
197,MSO,106
198,MTN,38
199,MXC,173
200,MXE,232
201,MXG,203
202,MXI,6
203,MXN,156
204,MXS,228
205,MXT,195
206,MYA,254
207,NAM,59
208,NAT,81
209,NBR,90
210,NCA,134
211,NCB,55
212,NCS,234
213,NDA,76
214,NEB,84
215,NEP,202
216,NET,199
217,NEV,106
218,NFK,17
219,NFL,70
220,NGA,78
221,NGR,30
222,NIC,146
223,NLA,25
224,NNS,97
225,NOR,175
226,NRU,6
227,NSC,87
228,NSW,105
229,NTA,50
230,NUE,11
231,NUN,34
232,NWC,42
233,NWG,133
234,NWH,104
235,NWJ,116
236,NWM,126
237,NWT,63
238,NWY,148
239,NZN,36
240,NZS,36
241,OFS,48
242,OGA,27
243,OHI,114
244,OKL,112
245,OMA,54
246,ONT,125
247,ORE,108
248,PAK,169
249,PAL,130
250,PAN,164
251,PAR,129
252,PEI,61
253,PEN,132
254,PER,258
255,PHI,173
256,PIT,4
257,POL,269
258,POR,241
259,PRM,114
260,PUE,83
261,QLD,131
262,QUE,117
263,REU,51
264,RHO,91
265,ROD,11
266,ROM,298
267,RUC,209
268,RUE,204
269,RUN,161
270,RUS,174
271,RUW,173
272,RWA,56
273,SAK,85
274,SAM,38
275,SAR,180
276,SAS,81
277,SAU,84
278,SCA,125
279,SCI,28
280,SCS,16
281,SCZ,12
282,SDA,88
283,SEL,8
284,SEN,50
285,SEY,19
286,SGE,3
287,SIC,208
288,SIE,46
289,SIN,59
290,SOA,44
291,SOC,21
292,SOL,62
293,SOM,48
294,SPA,435
295,SRL,135
296,SSA,1
297,STH,3
298,SUD,80
299,SUL,115
300,SUM,149
301,SUR,124
302,SVA,16
303,SWC,15
304,SWE,205
305,SWI,325
306,SWZ,54
307,TAI,185
308,TAN,117
309,TAS,45
310,TCI,20
311,TCS,255
312,TDC,6
313,TEN,117
314,TEX,172
315,THA,237
316,TKM,100
317,TOG,34
318,TOK,5
319,TON,22
320,TRT,85
321,TUA,5
322,TUB,14
323,TUE,189
324,TUN,153
325,TUR,325
326,TUV,3
327,TVA,101
328,TVL,82
329,TZK,121
330,UGA,91
331,UKR,288
332,URU,94
333,UTA,123
334,UZB,112
335,VAN,31
336,VEN,243
337,VER,112
338,VIC,60
339,VIE,259
340,VNA,36
341,VRG,128
342,WAL,19
343,WAS,103
344,WAU,71
345,WDC,71
346,WHM,197
347,WIN,72
348,WIS,119
349,WSA,20
350,WSB,167
351,WVA,105
352,WYO,104
353,XMS,12
354,YAK,101
355,YEM,73
356,YUG,381
357,YUK,63
358,ZAI,106
359,ZAM,74
360,ZIM,84
